,lon,lat,Year,geometry,lon_m,lat_m
910GKEWGRDN,-0.285148,51.477069,1869.0,POINT (-0.285148 51.477069),519186.8952522795,176739.506207699
910GKGSTON,-0.301166,51.412751,1845.0,POINT (-0.301166 51.412751),518240.47138655203,169561.1641663626
910GKIDBROK,0.027498,51.462121,1895.0,POINT (0.027498 51.462121),540943.2376039182,175632.0676007626
910GKLBRNHR,-0.192237,51.537277,1852.0,POINT (-0.192237 51.537277),525473.3175289278,183589.8749419212
910GKLGL,-0.438422,51.706356,1839.0,POINT (-0.438422 51.706356),507998.50520047813,201999.5064261543
910GKMPTNPK,-0.409751,51.420983,1878.0,POINT (-0.409751 51.420983),510669.5459308848,170307.10276046582
910GKNCKHLT,0.130847,51.34579,1876.0,POINT (0.130847 51.34579),548498.1142283145,162900.12488053483
910GKNLY,-0.100925,51.324777,1856.0,POINT (-0.100925 51.324777),532418.1990945237,160120.2449964559
910GKNTSHTN,-0.140545,51.550409,1868.0,POINT (-0.140545 51.550409),529020.9776398275,185140.00307470217
910GKNTSHTW,-0.146655,51.546548,1860.0,POINT (-0.146655 51.546548),528608.2599556888,184699.90595793398
910GKTON,-0.316946,51.581786,1912.0,POINT (-0.316946 51.581786),516710.8963080767,188333.27583992464
910GLANGLEY,-0.541756,51.508062,1845.0,POINT (-0.541756 51.508062),501298.72134369443,179799.9452557903
910GLBGHJN,-0.102182,51.466298,1864.0,POINT (-0.102182 51.466298),531923.2200083137,175855.1065251942
910GLDYW,-0.019041,51.456244,1857.0,POINT (-0.019041 51.456244),537728.1952511189,174890.1198799074
910GLEABDGE,-0.036673,51.566548,2016.0,POINT (-0.036673 51.566548),536174.1029247774,187122.9733533833
910GLEEE,0.013493,51.449755,1866.0,POINT (0.013493 51.449755),540008.2104485588,174230.1479067235
910GLETHRHD,-0.333232,51.298818,1859.0,POINT (-0.333232 51.298818),516298.3778449614,156840.36184688067
910GLEWISHM,-0.013016,51.465081,1849.0,POINT (-0.013016 51.465081),538120.1033964987,175884.12285485235
910GLEYTNMR,-0.008051,51.569725,1894.0,POINT (-0.008051000000000001 51.569725),538148.0687209457,187529.88460752892
910GLGFD,0.300364,51.396155,1872.0,POINT (0.300364 51.396155),560126.9937217075,168857.17894797178
910GLIMHSE,-0.039799,51.512469,1840.0,POINT (-0.039799 51.512469),536118.610525101,181103.48692021746
910GLIVST,-0.083162,51.51794,1999.0,POINT (-0.083162 51.51794),533093.8996259243,181632.1341920331
910GLNDNBDC,-0.086807,51.505881,1999.0,POINT (-0.086807 51.505881),532876.0915098002,180284.53834012168
910GLNGCROS,-0.59457,51.385173,1942.0,POINT (-0.59457 51.385173),497895.6808458387,166062.19775849977
910GLONFLDS,-0.057753,51.541153,1872.0,POINT (-0.057753 51.541153),534788.1562347757,184260.01083826087
910GLSYDNHM,-0.033345,51.424831,1857.0,POINT (-0.033345 51.424831),536828.2225549157,171370.2413958314
910GLUTOAPY,-0.395881,51.872438,1999.0,POINT (-0.395881 51.872438),510531.32643106015,220533.29397014744
910GLYTNSHR,0.008416,51.563554,1894.0,POINT (0.008416 51.563554),539308.0807089257,186874.8896692369
910GMALDENM,-0.261274,51.38473,1938.0,POINT (-0.261274 51.38473),521088.3643541495,166510.27621462772
910GMANRPK,0.046342,51.552477,1872.0,POINT (0.046342 51.552477),541971.1787784058,185716.056233629
910GMARYLBN,-0.163013,51.521602,1999.0,POINT (-0.163013 51.521602),527543.7624621431,181897.2646058511
910GMAZEH,0.002914,51.482625,1873.0,POINT (0.002914 51.482625),539173.1897568034,177865.13307491742
910GMDNHEAD,-0.72266,51.518669,1871.0,POINT (-0.72266 51.518669),488723.77618778683,180744.89035989466
910GMEOPHAM,0.356952,51.386424,1861.0,POINT (0.356952 51.386424),564098.0147474526,167900.222974092
910GMERSTHM,-0.150226,51.264154,1844.0,POINT (-0.150226 51.264154),529153.2059832369,153291.257398549
910GMITCHMJ,-0.158738,51.393147,1868.0,POINT (-0.158738 51.393147),528199.410883244,167620.4347354573
910GMKNSCEN,-0.774146,52.034288,1982.0,POINT (-0.774146 52.034288),484187.62390152866,238027.97459560586
910GMLHB,-0.24924,51.613093,1868.0,POINT (-0.24924 51.613093),521318.32015854924,191924.84620816621
910GMORDENS,-0.199461,51.396116,1930.0,POINT (-0.199461 51.396116),525358.2862476357,167880.2230486843
910GMOTNGHM,0.050054,51.440218,1866.0,POINT (0.050054 51.440218),542578.1750580324,173240.0938880578
910GMOTSPRP,-0.239531,51.395196,1938.0,POINT (-0.239531 51.395196),522573.33702178317,167710.20607318194
910GMRGT,-0.088627,51.518338,1865.0,POINT (-0.088627 51.518338),532713.594772869,181666.46903358912
910GMRTLKE,-0.267106,51.468087,1846.0,POINT (-0.267106 51.468087),520463.3808894298,175770.17024049145
910GMRYLAND,0.005815,51.546081,1874.0,POINT (0.005815 51.546081),539181.0904840543,184926.90906282712
910GMWRWSTN,-0.050898,51.610102,2019.0,POINT (-0.050898 51.610102),535059.2538235761,191939.98351923667
910GNBARNET,-0.172997,51.648575,1857.0,POINT (-0.172997 51.648575),526498.2407696072,195999.86700057093
910GNBCKNHM,-0.035273,51.41677,1857.0,POINT (-0.035273 51.41677),536718.2153057967,170470.2708983409
910GNDULWCH,-0.087917,51.45451,1868.0,POINT (-0.087917 51.45451),532948.2484914458,174570.07106406963
910GNEWMLDN,-0.25594,51.404075,1838.0,POINT (-0.25594 51.404075),521408.3664971184,168670.2721185467
910GNEWSGAT,-0.143038,51.614114,1850.0,POINT (-0.143038 51.614114),528668.2388570276,192219.8891714763
910GNEWXGTE,-0.040399,51.475132,1839.0,POINT (-0.040399 51.475132),536188.1967878537,176950.5172002482
910GNMBRLPK,-0.053932,51.601969,1840.0,POINT (-0.053932 51.601969),534873.2631121657,191029.96502085286
910GNORBURY,-0.121926,51.411446,1878.0,POINT (-0.121926 51.411446),530708.1952440751,169720.18764754722
910GNORWDJ,-0.075216,51.39702,1841.0,POINT (-0.07521600000000001 51.39702),533998.5949574752,168200.30979291192
910GNRBITON,-0.284025,51.412358,1869.0,POINT (-0.284025 51.412358),519433.45340455987,169545.23882950615
910GNRTHFLT,0.324334,51.445846,1849.0,POINT (0.324334 51.445846),561618.9984199327,174435.105273024
910GNSHEEN,-0.287876,51.465155,1930.0,POINT (-0.287876 51.465155),519028.41454706807,175410.21303087065
910GNTHOLTP,-0.359466,51.55754,1926.0,POINT (-0.359466 51.55754),513825.5090177802,185570.05833484355
910GNUNHEAD,-0.052273,51.466828,1865.0,POINT (-0.052273 51.466828),535388.195420457,176005.10705970303
910GNWCRELL,-0.032427,51.476347,1850.0,POINT (-0.032427 51.476347),536738.1619148783,177100.4782957933
910GNWELTHM,0.070533,51.43806,1878.0,POINT (0.070533 51.43806),544008.159518921,173040.1703133881
910GNWEMBLY,-0.303992,51.56258,1912.0,POINT (-0.303992 51.56258),517657.9290979896,186218.15744642494
910GOCKENDN,0.290469,51.521992,1892.0,POINT (0.290469 51.521992),559001.0385937241,182828.00599055947
910GOKLGHPK,-0.166209,51.637678,1873.0,POINT (-0.166209 51.637678),526998.2543786375,194799.82904306368
910GOLDST,-0.088193,51.526065,1901.0,POINT (-0.08819299999999999 51.526065),532721.2426271201,182526.50889434014
910GORPNGTN,0.089091,51.373296,1868.0,POINT (0.089091 51.373296),545503.2033099985,165875.04747272463
910GOTFORD,0.196779,51.313158,1882.0,POINT (0.196779 51.313158),553198.117678432,159407.26220624353
910GOXTED,-0.004833,51.257908,1884.0,POINT (-0.004833 51.257908),539315.2030158925,152862.33217249834
910GPALMRSG,-0.110437,51.618314,1871.0,POINT (-0.110437 51.618314),530913.2448797144,192744.82115280442
910GPBRO,-0.249837,52.574975,1852.0,POINT (-0.249837 52.574975),518699.08174026414,298898.0413175586
910GPCKHMQD,-0.057313,51.473566,1866.0,POINT (-0.057313 51.473566),535018.2565101796,176745.06129713758
910GPCKHMRY,-0.069414,51.470034,1864.0,POINT (-0.069414 51.470034),534188.2439935987,176330.0648209696
910GPENEW,-0.06084,51.417555,1839.0,POINT (-0.06084 51.417555),534938.1845768178,170510.2041996661
910GPETSWD,0.074481,51.388619,1928.0,POINT (0.07448100000000001 51.388619),544438.213503773,167550.10292936047
910GPKST,-0.340276,51.725458,1858.0,POINT (-0.340276 51.725458),514731.4323573275,204273.56017799588
910GPLMS,0.084257,51.489795,1849.0,POINT (0.084257 51.489795),544798.1582726841,178820.09331840609
910GPNDRSEN,-0.03508,51.642256,1840.0,POINT (-0.03508 51.642256),536058.2256362174,195544.95814837882
910GPNGEE,-0.05422,51.419334,1862.0,POINT (-0.05422 51.419334),535393.2273818235,170720.23364060943
910GPOTRSBR,-0.192605,51.697067,1850.0,POINT (-0.192605 51.697067),525008.3991903155,201358.67743741604
910GPURFLET,0.236767,51.481013,1854.0,POINT (0.236767 51.481013),555415.0317394142,178156.05730611202
910GPURLEY,-0.114035,51.337579,1841.0,POINT (-0.114035 51.337579),531468.2269092986,161520.26170688227
910GPURLEYO,-0.098856,51.347046,1899.0,POINT (-0.098856 51.347046),532498.1953137787,162600.26545916474
910GPUTNEY,-0.216475,51.461303,1844.0,POINT (-0.216475 51.461303),523998.3253625737,175100.16189527878
910GQPRK,-0.204882,51.534443,1879.0,POINT (-0.204882 51.534443),524604.1306516121,183253.1362091176
910GQTRDBAT,-0.146678,51.474968,1877.0,POINT (-0.146678 51.474968),528808.2871964789,176740.0682173762
910GRADLETT,-0.317244,51.685188,1868.0,POINT (-0.317244 51.685188),516425.34936899913,199831.61056841514
910GRAYNSPK,-0.230151,51.409173,1838.0,POINT (-0.230151 51.409173),523188.3400353166,169280.1820200865
910GRBRN,-0.007557,51.414188,1892.0,POINT (-0.007557 51.414188),538653.1620881864,170235.1665712453
910GRCHT,0.506855,51.389652,1892.0,POINT (0.5068550000000001 51.389652),574514.9966409972,168605.1734238565
910GRCKMNSW,-0.473273,51.640247,1887.0,POINT (-0.473273 51.640247),505744.19659686106,194596.81695915584
910GRCTRYRD,-0.068267,51.558502,1872.0,POINT (-0.06826699999999999 51.558502),534008.1854008181,186169.93352602457
910GRDLSDWN,-0.099387,51.332486,1927.0,POINT (-0.099387 51.332486),532503.1544945693,160980.23678364593
910GREDHILL,-0.1659,51.240201,1841.0,POINT (-0.1659 51.240201),528126.1998571408,150600.3163601464
910GREEDHMS,-0.123416,51.33112,1999.0,POINT (-0.123416 51.33112),530833.1897073536,160785.30379310722
910GRICHMND,-0.301448,51.463152,1846.0,POINT (-0.301448 51.463152),518090.86896207347,175165.5276163288
910GRNHAME,0.190634,51.516723,1999.0,POINT (0.190634 51.516723),552093.0301554315,182029.9691191052
910GROMFORD,0.183237,51.574829,1839.0,POINT (0.183237 51.574829),551387.1100172553,188475.88888761774
910GROYDON,0.036252,51.775487,1844.0,POINT (0.036252 51.775487),540580.1647623212,210495.53209131735
910GRTHERHI,-0.052048,51.500817,1869.0,POINT (-0.052048 51.500817),535303.2136469848,179785.07572346966
910GRYEHOUS,0.005628,51.769413,1843.0,POINT (0.005628 51.769413),538486.1231973873,209761.52148217865
910GSACTON,-0.270157,51.499695,1880.0,POINT (-0.270157 51.499695),520168.44702269323,179280.03109043138
910GSBRMNDS,-0.054678,51.488136,1866.0,POINT (-0.054678 51.488136),535158.1802745152,178370.09310036345
910GSBURY,-0.052437,51.648705,1891.0,POINT (-0.052437 51.648705),534838.1678201949,196229.85831963178
910GSCROYDN,-0.093457,51.362965,1865.0,POINT (-0.093457 51.362965),532828.171369165,164380.21711639123
910GSDBRYHH,-0.335803,51.558465,1910.0,POINT (-0.335803 51.558465),515463.47454422177,185709.93727832934
910GSDBRYHR,-0.315468,51.554398,1910.0,POINT (-0.315468 51.554398),516883.4410004928,185289.92091569654
910GSDSD,-0.093678,51.348283,1884.0,POINT (-0.093678 51.348283),532855.201994291,162747.1828800802
910GSEERGRN,-0.607818,51.609845,1914.0,POINT (-0.607818 51.609845),496498.66073509713,191029.8906742676
910GSELHRST,-0.0883,51.391927,1865.0,POINT (-0.0883 51.391927),533103.2297495648,167610.11178554804
